model,task,context_length,depth_pct,question,expected_answer,model_response,prompt_tokens,completion_tokens,cached_tokens,tokens_used,latency_s,response_chars,question_chars,context_chars,sample_id,experiment,variant,needle_style,domain,difficulty,answer_type,num_needles,distractor_count,target_needle_id,inserted_needles,hops,scoring_mode,answer_aliases,error
deepseek,niah,2000,10.0,公司 2025 年资本开支上限是多少？,18.6亿元,18.6亿元,1576,4,128,1580,0.51,6,19,1895,v2-niah-2000-10-00-finance_capex_budget,v2,style_aligned,style_aligned,finance,medium,numeric,1,0.0,finance_capex_budget,"[""根据董事会审议通过的预算方案，公司 2025 年资本开支上限为 18.6 亿元。""]",,,,
deepseek,niah,2000,10.0,区域配送的 SLA 指标是多少？,92.1%,24小时履约率。,1170,5,0,1175,0.77,8,16,1920,v2-niah-2000-10-01-logistics_numeric_confusable_sla,v2,numeric_confusable,numeric_confusable,logistics,hard,numeric,1,0.0,logistics_numeric_confusable_sla,"[""区域配送周报同时列出 96.4% 的妥投率和 92.1% 的 24 小时履约率，其中 SLA 对外口径指 24 小时履约率。""]",,,,
deepseek,niah,2000,10.0,董事会最终批准的年度自由现金流目标是多少？,9.4亿元,9.4亿元,1275,4,0,1279,0.64,5,21,1721,v2-niah-2000-10-02-finance_multi_key_fcf,v2,multi_key,multi_key,finance,hard,numeric,3,2.0,finance_multi_key_fcf,"[""董事会最终批准的年度自由现金流目标为 9.4 亿元。"", ""上一财年的自由现金流实际完成值为 7.9 亿元。"", ""财务部早期草案曾讨论将年度自由现金流目标设为 8.7 亿元，但该方案未获批准。""]",,,,
deepseek,niah,2000,10.0,公司 2025 年资本开支上限是多少？,18.6亿元,18.6亿元。,1537,5,0,1542,1.22,7,19,1922,v2-niah-2000-10-03-finance_capex_budget,v2,style_aligned,style_aligned,finance,medium,numeric,1,0.0,finance_capex_budget,"[""根据董事会审议通过的预算方案，公司 2025 年资本开支上限为 18.6 亿元。""]",,,,
deepseek,niah,2000,10.0,2025 年一季度综合毛利率是多少？,23.7%,23.7%,1344,4,0,1348,0.83,5,18,1900,v2-niah-2000-10-04-finance_numeric_confusable_margin,v2,numeric_confusable,numeric_confusable,finance,hard,numeric,1,0.0,finance_numeric_confusable_margin,"[""管理层说明指出，2025 年一季度综合毛利率为 23.7%，营业利润率为 11.4%，其中对外披露口径要求优先引用综合毛利率。""]",,,,
deepseek,niah,2000,10.0,A3 产线切换到新工艺的正式日期是哪天？,2025年6月18日,2025年6月18日,1259,7,0,1266,1.14,10,20,1753,v2-niah-2000-10-05-manufacturing_multi_key_line_switch,v2,multi_key,multi_key,manufacturing,hard,short_span,3,2.0,manufacturing_multi_key_line_switch,"[""工厂排产会上确认，A3 产线切换到新工艺的正式日期为 2025 年 6 月 18 日。"", ""A2 产线切换到同类工艺的历史日期为 2025 年 5 月 30 日。"", ""工程试跑记录显示，A3 产线在 2025 年 6 月 12 日完成了小批量验证。""]",,,,
deepseek,niah,2000,10.0,急诊药房重点监控药品的库存周转天数是多少？,6.5天,6.5天。,1123,5,0,1128,0.39,5,21,1867,v2-niah-2000-10-06-healthcare_inventory_turnover,v2,style_aligned,style_aligned,healthcare,medium,short_span,1,0.0,healthcare_inventory_turnover,"[""院内周报显示，急诊药房的重点监控药品库存周转天数已压缩至 6.5 天。""]",,,,
deepseek,niah,2000,10.0,同店销售额同比增长了多少？,8.9%,8.9%,1389,4,0,1393,0.77,4,13,1887,v2-niah-2000-10-07-retail_numeric_confusable_growth,v2,numeric_confusable,numeric_confusable,retail,hard,numeric,1,0.0,retail_numeric_confusable_growth,"[""门店运营简报写明，同店销售额同比增长 8.9%，会员复购率提升 3.2 个百分点，问题若仅问销售增长应返回同店销售额同比增幅。""]",,,,
deepseek,niah,2000,10.0,A3 产线切换到新工艺的正式日期是哪天？,2025年6月18日,2025年6月18日,1417,7,0,1424,0.61,10,20,1757,v2-niah-2000-10-08-manufacturing_multi_key_line_switch,v2,multi_key,multi_key,manufacturing,hard,short_span,3,2.0,manufacturing_multi_key_line_switch,"[""工厂排产会上确认，A3 产线切换到新工艺的正式日期为 2025 年 6 月 18 日。"", ""A2 产线切换到同类工艺的历史日期为 2025 年 5 月 30 日。"", ""工程试跑记录显示，A3 产线在 2025 年 6 月 12 日完成了小批量验证。""]",,,,
deepseek,niah,2000,10.0,急诊药房重点监控药品的库存周转天数是多少？,6.5天,6.5天。,1244,5,128,1249,0.46,5,21,1901,v2-niah-2000-10-09-healthcare_inventory_turnover,v2,style_aligned,style_aligned,healthcare,medium,short_span,1,0.0,healthcare_inventory_turnover,"[""院内周报显示，急诊药房的重点监控药品库存周转天数已压缩至 6.5 天。""]",,,,
deepseek,niah,2000,25.0,本季度封装段一次良率目标是多少？,98.2%,98.2%,1370,4,0,1374,1.3,5,16,1920,v2-niah-2000-25-00-manufacturing_yield_target,v2,style_aligned,style_aligned,manufacturing,medium,numeric,1,0.0,manufacturing_yield_target,"[""产线月度经营复盘中明确，本季度封装段一次良率目标为 98.2%。""]",,,,
deepseek,niah,2000,25.0,2025 年一季度综合毛利率是多少？,23.7%,23.7%,1237,4,128,1241,0.67,5,18,1905,v2-niah-2000-25-01-finance_numeric_confusable_margin,v2,numeric_confusable,numeric_confusable,finance,hard,numeric,1,0.0,finance_numeric_confusable_margin,"[""管理层说明指出，2025 年一季度综合毛利率为 23.7%，营业利润率为 11.4%，其中对外披露口径要求优先引用综合毛利率。""]",,,,
deepseek,niah,2000,25.0,A3 产线切换到新工艺的正式日期是哪天？,2025年6月18日,2025年6月18日,1099,7,0,1106,0.58,10,20,1749,v2-niah-2000-25-02-manufacturing_multi_key_line_switch,v2,multi_key,multi_key,manufacturing,hard,short_span,3,2.0,manufacturing_multi_key_line_switch,"[""工程试跑记录显示，A3 产线在 2025 年 6 月 12 日完成了小批量验证。"", ""工厂排产会上确认，A3 产线切换到新工艺的正式日期为 2025 年 6 月 18 日。"", ""A2 产线切换到同类工艺的历史日期为 2025 年 5 月 30 日。""]",,,,
deepseek,niah,2000,25.0,本季度封装段一次良率目标是多少？,98.2%,98.2%,1274,4,128,1278,1.47,5,16,1886,v2-niah-2000-25-03-manufacturing_yield_target,v2,style_aligned,style_aligned,manufacturing,medium,numeric,1,0.0,manufacturing_yield_target,"[""产线月度经营复盘中明确，本季度封装段一次良率目标为 98.2%。""]",,,,
deepseek,niah,2000,25.0,同店销售额同比增长了多少？,8.9%,8.9%,1389,4,0,1393,0.69,4,13,1887,v2-niah-2000-25-04-retail_numeric_confusable_growth,v2,numeric_confusable,numeric_confusable,retail,hard,numeric,1,0.0,retail_numeric_confusable_growth,"[""门店运营简报写明，同店销售额同比增长 8.9%，会员复购率提升 3.2 个百分点，问题若仅问销售增长应返回同店销售额同比增幅。""]",,,,
deepseek,niah,2000,25.0,A3 产线切换到新工艺的正式日期是哪天？,2025年6月18日,2025年6月18日,1297,7,0,1304,0.92,10,20,1761,v2-niah-2000-25-05-manufacturing_multi_key_line_switch,v2,multi_key,multi_key,manufacturing,hard,short_span,3,2.0,manufacturing_multi_key_line_switch,"[""工程试跑记录显示，A3 产线在 2025 年 6 月 12 日完成了小批量验证。"", ""工厂排产会上确认，A3 产线切换到新工艺的正式日期为 2025 年 6 月 18 日。"", ""A2 产线切换到同类工艺的历史日期为 2025 年 5 月 30 日。""]",,,,
deepseek,niah,2000,25.0,本季度封装段一次良率目标是多少？,98.2%,98.2%,1238,4,128,1242,0.73,5,16,1898,v2-niah-2000-25-06-manufacturing_yield_target,v2,style_aligned,style_aligned,manufacturing,medium,numeric,1,0.0,manufacturing_yield_target,"[""产线月度经营复盘中明确，本季度封装段一次良率目标为 98.2%。""]",,,,
deepseek,niah,2000,25.0,区域配送的 SLA 指标是多少？,92.1%,92.1% 的 24 小时履约率。,1533,13,0,1546,0.79,17,16,1921,v2-niah-2000-25-07-logistics_numeric_confusable_sla,v2,numeric_confusable,numeric_confusable,logistics,hard,numeric,1,0.0,logistics_numeric_confusable_sla,"[""区域配送周报同时列出 96.4% 的妥投率和 92.1% 的 24 小时履约率，其中 SLA 对外口径指 24 小时履约率。""]",,,,
deepseek,niah,2000,25.0,A3 产线切换到新工艺的正式日期是哪天？,2025年6月18日,2025年6月18日,1438,7,0,1445,0.76,10,20,1734,v2-niah-2000-25-08-manufacturing_multi_key_line_switch,v2,multi_key,multi_key,manufacturing,hard,short_span,3,2.0,manufacturing_multi_key_line_switch,"[""工程试跑记录显示，A3 产线在 2025 年 6 月 12 日完成了小批量验证。"", ""工厂排产会上确认，A3 产线切换到新工艺的正式日期为 2025 年 6 月 18 日。"", ""A2 产线切换到同类工艺的历史日期为 2025 年 5 月 30 日。""]",,,,
deepseek,niah,2000,25.0,本季度封装段一次良率目标是多少？,98.2%,98.2%,1519,4,0,1523,0.92,5,16,1874,v2-niah-2000-25-09-manufacturing_yield_target,v2,style_aligned,style_aligned,manufacturing,medium,numeric,1,0.0,manufacturing_yield_target,"[""产线月度经营复盘中明确，本季度封装段一次良率目标为 98.2%。""]",,,,
deepseek,niah,2000,50.0,同店销售额同比增长了多少？,8.9%,8.9%,1523,4,0,1527,0.8,4,13,1910,v2-niah-2000-50-00-retail_numeric_confusable_growth,v2,numeric_confusable,numeric_confusable,retail,hard,numeric,1,0.0,retail_numeric_confusable_growth,"[""门店运营简报写明，同店销售额同比增长 8.9%，会员复购率提升 3.2 个百分点，问题若仅问销售增长应返回同店销售额同比增幅。""]",,,,
deepseek,niah,2000,50.0,A3 产线切换到新工艺的正式日期是哪天？,2025年6月18日,2025年6月18日,1099,7,0,1106,0.51,10,20,1749,v2-niah-2000-50-01-manufacturing_multi_key_line_switch,v2,multi_key,multi_key,manufacturing,hard,short_span,3,2.0,manufacturing_multi_key_line_switch,"[""工程试跑记录显示，A3 产线在 2025 年 6 月 12 日完成了小批量验证。"", ""工厂排产会上确认，A3 产线切换到新工艺的正式日期为 2025 年 6 月 18 日。"", ""A2 产线切换到同类工艺的历史日期为 2025 年 5 月 30 日。""]",,,,
deepseek,niah,2000,50.0,急诊药房重点监控药品的库存周转天数是多少？,6.5天,6.5天。,1518,5,128,1523,0.9,5,21,1894,v2-niah-2000-50-02-healthcare_inventory_turnover,v2,style_aligned,style_aligned,healthcare,medium,short_span,1,0.0,healthcare_inventory_turnover,"[""院内周报显示，急诊药房的重点监控药品库存周转天数已压缩至 6.5 天。""]",,,,
deepseek,niah,2000,50.0,区域配送的 SLA 指标是多少？,92.1%,92.1% 的 24 小时履约率。,1528,13,512,1541,1.04,17,16,1909,v2-niah-2000-50-03-logistics_numeric_confusable_sla,v2,numeric_confusable,numeric_confusable,logistics,hard,numeric,1,0.0,logistics_numeric_confusable_sla,"[""区域配送周报同时列出 96.4% 的妥投率和 92.1% 的 24 小时履约率，其中 SLA 对外口径指 24 小时履约率。""]",,,,
deepseek,niah,2000,50.0,董事会最终批准的年度自由现金流目标是多少？,9.4亿元,9.4亿元,1364,4,128,1368,0.46,5,21,1761,v2-niah-2000-50-04-finance_multi_key_fcf,v2,multi_key,multi_key,finance,hard,numeric,3,2.0,finance_multi_key_fcf,"[""财务部早期草案曾讨论将年度自由现金流目标设为 8.7 亿元，但该方案未获批准。"", ""董事会最终批准的年度自由现金流目标为 9.4 亿元。"", ""上一财年的自由现金流实际完成值为 7.9 亿元。""]",,,,
deepseek,niah,2000,50.0,本季度封装段一次良率目标是多少？,98.2%,98.2%。,1050,4,0,1054,0.74,6,16,1919,v2-niah-2000-50-05-manufacturing_yield_target,v2,style_aligned,style_aligned,manufacturing,medium,numeric,1,0.0,manufacturing_yield_target,"[""产线月度经营复盘中明确，本季度封装段一次良率目标为 98.2%。""]",,,,
deepseek,niah,2000,50.0,区域配送的 SLA 指标是多少？,92.1%,92.1% 的 24 小时履约率。,1528,13,1408,1541,0.65,17,16,1909,v2-niah-2000-50-06-logistics_numeric_confusable_sla,v2,numeric_confusable,numeric_confusable,logistics,hard,numeric,1,0.0,logistics_numeric_confusable_sla,"[""区域配送周报同时列出 96.4% 的妥投率和 92.1% 的 24 小时履约率，其中 SLA 对外口径指 24 小时履约率。""]",,,,
deepseek,niah,2000,50.0,A3 产线切换到新工艺的正式日期是哪天？,2025年6月18日,2025年6月18日,1182,7,128,1189,0.63,10,20,1721,v2-niah-2000-50-07-manufacturing_multi_key_line_switch,v2,multi_key,multi_key,manufacturing,hard,short_span,3,2.0,manufacturing_multi_key_line_switch,"[""工程试跑记录显示，A3 产线在 2025 年 6 月 12 日完成了小批量验证。"", ""工厂排产会上确认，A3 产线切换到新工艺的正式日期为 2025 年 6 月 18 日。"", ""A2 产线切换到同类工艺的历史日期为 2025 年 5 月 30 日。""]",,,,
deepseek,niah,2000,50.0,急诊药房重点监控药品的库存周转天数是多少？,6.5天,6.5天。,1505,5,128,1510,0.49,5,21,1917,v2-niah-2000-50-08-healthcare_inventory_turnover,v2,style_aligned,style_aligned,healthcare,medium,short_span,1,0.0,healthcare_inventory_turnover,"[""院内周报显示，急诊药房的重点监控药品库存周转天数已压缩至 6.5 天。""]",,,,
deepseek,niah,2000,50.0,区域配送的 SLA 指标是多少？,92.1%,92.1% 的 24 小时履约率。,1528,13,1408,1541,0.62,17,16,1909,v2-niah-2000-50-09-logistics_numeric_confusable_sla,v2,numeric_confusable,numeric_confusable,logistics,hard,numeric,1,0.0,logistics_numeric_confusable_sla,"[""区域配送周报同时列出 96.4% 的妥投率和 92.1% 的 24 小时履约率，其中 SLA 对外口径指 24 小时履约率。""]",,,,
deepseek,niah,2000,75.0,院务会最终批准的日间手术中心新增床位数是多少？,42张,42张。,1145,3,384,1148,0.78,4,23,1681,v2-niah-2000-75-00-healthcare_multi_key_bed_plan,v2,multi_key,multi_key,healthcare,hard,numeric,3,2.0,healthcare_multi_key_bed_plan,"[""规划部门的测算底稿曾建议新增 36 张床位以控制初期成本。"", ""院务会最终批准的日间手术中心新增床位数为 42 张。"", ""去年同院区普通病房实际新增床位数为 28 张。""]",,,,
deepseek,niah,2000,75.0,公司 2025 年资本开支上限是多少？,18.6亿元,18.6亿元。,1517,5,768,1522,1.11,7,19,1899,v2-niah-2000-75-01-finance_capex_budget,v2,style_aligned,style_aligned,finance,medium,numeric,1,0.0,finance_capex_budget,"[""根据董事会审议通过的预算方案，公司 2025 年资本开支上限为 18.6 亿元。""]",,,,
deepseek,niah,2000,75.0,2025 年一季度综合毛利率是多少？,23.7%,23.7%,1060,4,768,1064,0.63,5,18,1920,v2-niah-2000-75-02-finance_numeric_confusable_margin,v2,numeric_confusable,numeric_confusable,finance,hard,numeric,1,0.0,finance_numeric_confusable_margin,"[""管理层说明指出，2025 年一季度综合毛利率为 23.7%，营业利润率为 11.4%，其中对外披露口径要求优先引用综合毛利率。""]",,,,
deepseek,niah,2000,75.0,董事会最终批准的年度自由现金流目标是多少？,9.4亿元,9.4亿元,1453,4,128,1457,1.05,5,21,1765,v2-niah-2000-75-03-finance_multi_key_fcf,v2,multi_key,multi_key,finance,hard,numeric,3,2.0,finance_multi_key_fcf,"[""财务部早期草案曾讨论将年度自由现金流目标设为 8.7 亿元，但该方案未获批准。"", ""董事会最终批准的年度自由现金流目标为 9.4 亿元。"", ""上一财年的自由现金流实际完成值为 7.9 亿元。""]",,,,
deepseek,niah,2000,75.0,本季度封装段一次良率目标是多少？,98.2%,98.2%,1274,4,384,1278,1.35,5,16,1886,v2-niah-2000-75-04-manufacturing_yield_target,v2,style_aligned,style_aligned,manufacturing,medium,numeric,1,0.0,manufacturing_yield_target,"[""产线月度经营复盘中明确，本季度封装段一次良率目标为 98.2%。""]",,,,
deepseek,niah,2000,75.0,区域配送的 SLA 指标是多少？,92.1%,24小时履约率。,1170,5,0,1175,0.65,8,16,1920,v2-niah-2000-75-05-logistics_numeric_confusable_sla,v2,numeric_confusable,numeric_confusable,logistics,hard,numeric,1,0.0,logistics_numeric_confusable_sla,"[""区域配送周报同时列出 96.4% 的妥投率和 92.1% 的 24 小时履约率，其中 SLA 对外口径指 24 小时履约率。""]",,,,
deepseek,niah,2000,75.0,院务会最终批准的日间手术中心新增床位数是多少？,42张,42张,1374,2,128,1376,0.64,3,23,1721,v2-niah-2000-75-06-healthcare_multi_key_bed_plan,v2,multi_key,multi_key,healthcare,hard,numeric,3,2.0,healthcare_multi_key_bed_plan,"[""规划部门的测算底稿曾建议新增 36 张床位以控制初期成本。"", ""院务会最终批准的日间手术中心新增床位数为 42 张。"", ""去年同院区普通病房实际新增床位数为 28 张。""]",,,,
deepseek,niah,2000,75.0,急诊药房重点监控药品的库存周转天数是多少？,6.5天,6.5天。,1538,5,512,1543,0.74,5,21,1919,v2-niah-2000-75-07-healthcare_inventory_turnover,v2,style_aligned,style_aligned,healthcare,medium,short_span,1,0.0,healthcare_inventory_turnover,"[""院内周报显示，急诊药房的重点监控药品库存周转天数已压缩至 6.5 天。""]",,,,
deepseek,niah,2000,75.0,2025 年一季度综合毛利率是多少？,23.7%,23.7%,1521,4,896,1525,0.93,5,18,1910,v2-niah-2000-75-08-finance_numeric_confusable_margin,v2,numeric_confusable,numeric_confusable,finance,hard,numeric,1,0.0,finance_numeric_confusable_margin,"[""管理层说明指出，2025 年一季度综合毛利率为 23.7%，营业利润率为 11.4%，其中对外披露口径要求优先引用综合毛利率。""]",,,,
deepseek,niah,2000,75.0,董事会最终批准的年度自由现金流目标是多少？,9.4亿元,9.4亿元,1064,4,0,1068,0.94,5,21,1720,v2-niah-2000-75-09-finance_multi_key_fcf,v2,multi_key,multi_key,finance,hard,numeric,3,2.0,finance_multi_key_fcf,"[""财务部早期草案曾讨论将年度自由现金流目标设为 8.7 亿元，但该方案未获批准。"", ""董事会最终批准的年度自由现金流目标为 9.4 亿元。"", ""上一财年的自由现金流实际完成值为 7.9 亿元。""]",,,,
deepseek,niah,2000,90.0,院务会最终批准的日间手术中心新增床位数是多少？,42张,42张,1154,2,384,1156,0.93,3,23,1754,v2-niah-2000-90-00-healthcare_multi_key_bed_plan,v2,multi_key,multi_key,healthcare,hard,numeric,3,2.0,healthcare_multi_key_bed_plan,"[""规划部门的测算底稿曾建议新增 36 张床位以控制初期成本。"", ""去年同院区普通病房实际新增床位数为 28 张。"", ""院务会最终批准的日间手术中心新增床位数为 42 张。""]",,,,
deepseek,niah,2000,90.0,急诊药房重点监控药品的库存周转天数是多少？,6.5天,6.5天。,1356,5,768,1361,0.84,5,21,1901,v2-niah-2000-90-01-healthcare_inventory_turnover,v2,style_aligned,style_aligned,healthcare,medium,short_span,1,0.0,healthcare_inventory_turnover,"[""院内周报显示，急诊药房的重点监控药品库存周转天数已压缩至 6.5 天。""]",,,,
deepseek,niah,2000,90.0,同店销售额同比增长了多少？,8.9%,8.9%,1239,4,1024,1243,0.55,4,13,1905,v2-niah-2000-90-02-retail_numeric_confusable_growth,v2,numeric_confusable,numeric_confusable,retail,hard,numeric,1,0.0,retail_numeric_confusable_growth,"[""门店运营简报写明，同店销售额同比增长 8.9%，会员复购率提升 3.2 个百分点，问题若仅问销售增长应返回同店销售额同比增幅。""]",,,,
deepseek,niah,2000,90.0,院务会最终批准的日间手术中心新增床位数是多少？,42张,42张。,1274,3,128,1277,0.67,4,23,1710,v2-niah-2000-90-03-healthcare_multi_key_bed_plan,v2,multi_key,multi_key,healthcare,hard,numeric,3,2.0,healthcare_multi_key_bed_plan,"[""规划部门的测算底稿曾建议新增 36 张床位以控制初期成本。"", ""去年同院区普通病房实际新增床位数为 28 张。"", ""院务会最终批准的日间手术中心新增床位数为 42 张。""]",,,,
deepseek,niah,2000,90.0,本季度封装段一次良率目标是多少？,98.2%,98.2%,1501,4,1152,1505,0.76,5,16,1914,v2-niah-2000-90-04-manufacturing_yield_target,v2,style_aligned,style_aligned,manufacturing,medium,numeric,1,0.0,manufacturing_yield_target,"[""产线月度经营复盘中明确，本季度封装段一次良率目标为 98.2%。""]",,,,
deepseek,niah,2000,90.0,区域配送的 SLA 指标是多少？,92.1%,92.1% 的 24 小时履约率。,1394,13,384,1407,0.74,17,16,1886,v2-niah-2000-90-05-logistics_numeric_confusable_sla,v2,numeric_confusable,numeric_confusable,logistics,hard,numeric,1,0.0,logistics_numeric_confusable_sla,"[""区域配送周报同时列出 96.4% 的妥投率和 92.1% 的 24 小时履约率，其中 SLA 对外口径指 24 小时履约率。""]",,,,
deepseek,niah,2000,90.0,院务会最终批准的日间手术中心新增床位数是多少？,42张,42张,1036,2,384,1038,0.81,3,23,1763,v2-niah-2000-90-06-healthcare_multi_key_bed_plan,v2,multi_key,multi_key,healthcare,hard,numeric,3,2.0,healthcare_multi_key_bed_plan,"[""规划部门的测算底稿曾建议新增 36 张床位以控制初期成本。"", ""去年同院区普通病房实际新增床位数为 28 张。"", ""院务会最终批准的日间手术中心新增床位数为 42 张。""]",,,,
deepseek,niah,2000,90.0,本季度封装段一次良率目标是多少？,98.2%,98.2%,1274,4,1024,1278,0.6,5,16,1886,v2-niah-2000-90-07-manufacturing_yield_target,v2,style_aligned,style_aligned,manufacturing,medium,numeric,1,0.0,manufacturing_yield_target,"[""产线月度经营复盘中明确，本季度封装段一次良率目标为 98.2%。""]",,,,
deepseek,niah,2000,90.0,区域配送的 SLA 指标是多少？,92.1%,92.1% 的 24 小时履约率。,1528,13,896,1541,0.92,17,16,1909,v2-niah-2000-90-08-logistics_numeric_confusable_sla,v2,numeric_confusable,numeric_confusable,logistics,hard,numeric,1,0.0,logistics_numeric_confusable_sla,"[""区域配送周报同时列出 96.4% 的妥投率和 92.1% 的 24 小时履约率，其中 SLA 对外口径指 24 小时履约率。""]",,,,
deepseek,niah,2000,90.0,A3 产线切换到新工艺的正式日期是哪天？,2025年6月18日,2025年6月18日,1384,7,512,1391,0.77,10,20,1766,v2-niah-2000-90-09-manufacturing_multi_key_line_switch,v2,multi_key,multi_key,manufacturing,hard,short_span,3,2.0,manufacturing_multi_key_line_switch,"[""工程试跑记录显示，A3 产线在 2025 年 6 月 12 日完成了小批量验证。"", ""A2 产线切换到同类工艺的历史日期为 2025 年 5 月 30 日。"", ""工厂排产会上确认，A3 产线切换到新工艺的正式日期为 2025 年 6 月 18 日。""]",,,,
deepseek,niah,2000,100.0,公司 2025 年资本开支上限是多少？,18.6亿元,18.6亿元。,1414,5,1024,1419,0.69,7,19,1922,v2-niah-2000-100-00-finance_capex_budget,v2,style_aligned,style_aligned,finance,medium,numeric,1,0.0,finance_capex_budget,"[""根据董事会审议通过的预算方案，公司 2025 年资本开支上限为 18.6 亿元。""]",,,,
deepseek,niah,2000,100.0,同店销售额同比增长了多少？,8.9%,8.9%,1587,4,1280,1591,0.92,4,13,1918,v2-niah-2000-100-01-retail_numeric_confusable_growth,v2,numeric_confusable,numeric_confusable,retail,hard,numeric,1,0.0,retail_numeric_confusable_growth,"[""门店运营简报写明，同店销售额同比增长 8.9%，会员复购率提升 3.2 个百分点，问题若仅问销售增长应返回同店销售额同比增幅。""]",,,,
