model,task,context_length,depth_pct,question,expected_answer,model_response,tokens_used,latency_s,prompt_tokens,completion_tokens,cached_tokens
deepseek,niah,4000,10,公司今年第三季度净利润是多少？,47.3亿元人民币,47.3亿元人民币,2587,0.86,,,
deepseek,niah,4000,10,首席技术官王磊的直线电话是多少？,010-88887777转301,010-88887777 转 301,2401,1.05,,,
deepseek,niah,4000,25,内部项目代号是什么，启动日期是哪天？,暗星计划，2024年11月8日,内部项目代号为“暗星计划”，正式启动日期为2024年11月8日。,2621,0.78,,,
deepseek,niah,4000,25,数据中心备用电源的启动口令是什么？,GoldenKey-7749,GoldenKey-7749,396,0.43,,,
deepseek,niah,4000,50,李明的员工编号是多少？,EMP-2024-08831,EMP-2024-08831,1750,1.2,,,
deepseek,niah,4000,75,内部项目代号是什么，启动日期是哪天？,暗星计划，2024年11月8日,,0,0.0,,,
deepseek,niah,4000,75,李明的员工编号是多少？,EMP-2024-08831,EMP-2024-08831,3065,0.8,,,
deepseek,niah,4000,90,数据中心备用电源的启动口令是什么？,GoldenKey-7749,GoldenKey-7749,2652,0.63,,,
deepseek,niah,4000,90,数据中心备用电源的启动口令是什么？,GoldenKey-7749,GoldenKey-7749,3148,0.46,,,
deepseek,niah,4000,100,公司今年第三季度净利润是多少？,47.3亿元人民币,47.3亿元人民币,2386,1.22,,,
deepseek,niah,4000,100,李明的员工编号是多少？,EMP-2024-08831,EMP-2024-08831,2734,1.0,,,
deepseek,niah,8000,0,李明的员工编号是多少？,EMP-2024-08831,EMP-2024-08831,6423,0.65,,,
deepseek,niah,8000,0,首席技术官王磊的直线电话是多少？,010-88887777转301,010-88887777 转 301,5835,0.63,,,
deepseek,niah,8000,10,内部项目代号是什么，启动日期是哪天？,暗星计划，2024年11月8日,内部项目代号为“暗星计划”，启动日期为2024年11月8日。,5414,1.46,,,
deepseek,niah,8000,10,数据中心备用电源的启动口令是什么？,GoldenKey-7749,GoldenKey-7749,5383,1.25,,,
deepseek,niah,8000,25,张伟的私人银行账户密码是什么？,X7K9-BLUE-2024,X7K9-BLUE-2024,4375,2.33,,,
deepseek,niah,8000,25,数据中心备用电源的启动口令是什么？,GoldenKey-7749,GoldenKey-7749,3224,0.81,,,
deepseek,niah,8000,25,李明的员工编号是多少？,EMP-2024-08831,EMP-2024-08831,6041,0.57,,,
deepseek,niah,8000,50,内部项目代号是什么，启动日期是哪天？,暗星计划，2024年11月8日,内部项目代号为“暗星计划”，启动日期为2024年11月8日。,5853,0.89,,,
deepseek,niah,8000,50,数据中心备用电源的启动口令是什么？,GoldenKey-7749,GoldenKey-7749,6174,0.56,,,
deepseek,niah,8000,50,首席技术官王磊的直线电话是多少？,010-88887777转301,010-88887777 转 301,4376,1.13,,,
deepseek,niah,8000,75,内部项目代号是什么，启动日期是哪天？,暗星计划，2024年11月8日,内部项目代号为“暗星计划”，启动日期为2024年11月8日。,5853,0.89,,,
deepseek,niah,8000,75,李明的员工编号是多少？,EMP-2024-08831,EMP-2024-08831,5841,0.75,,,
deepseek,niah,8000,100,内部项目代号是什么，启动日期是哪天？,暗星计划，2024年11月8日,暗星计划，2024年11月8日。,6063,0.98,,,
deepseek,niah,8000,100,首席技术官王磊的直线电话是多少？,010-88887777转301,010-88887777 转 301,5835,1.03,,,
deepseek,niah,16000,0,本次合并的换股比例是多少？,每3股A公司股票换1股B公司股票,每3股A公司股票换1股B公司股票。,5339,0.98,,,
deepseek,niah,16000,10,公司今年第三季度净利润是多少？,47.3亿元人民币,47.3亿元人民币,12591,1.15,,,
deepseek,niah,16000,10,首席技术官王磊的直线电话是多少？,010-88887777转301,010-88887777 转 301,12606,1.49,,,
deepseek,niah,16000,25,公司今年第三季度净利润是多少？,47.3亿元人民币,47.3亿元人民币。,8642,1.48,,,
deepseek,niah,16000,25,张伟的私人银行账户密码是什么？,X7K9-BLUE-2024,X7K9-BLUE-2024,4989,1.64,,,
deepseek,niah,16000,50,数据中心备用电源的启动口令是什么？,GoldenKey-7749,GoldenKey-7749,5319,1.07,,,
deepseek,niah,16000,50,李明的员工编号是多少？,EMP-2024-08831,,0,0.0,,,
deepseek,niah,16000,50,李明的员工编号是多少？,EMP-2024-08831,EMP-2024-08831,8643,2.32,,,
deepseek,niah,16000,75,会议室临时预订密码是什么？,Rainbow-512,Rainbow-512,12917,3.88,,,
deepseek,niah,16000,75,张伟的私人银行账户密码是什么？,X7K9-BLUE-2024,X7K9-BLUE-2024,12960,4.34,,,
deepseek,niah,16000,75,李明的员工编号是多少？,EMP-2024-08831,EMP-2024-08831,3282,1.16,,,
deepseek,niah,16000,90,会议室临时预订密码是什么？,Rainbow-512,Rainbow-512,4973,1.0,,,
deepseek,niah,16000,100,会议室临时预订密码是什么？,Rainbow-512,Rainbow-512,5316,1.28,,,
deepseek,niah,16000,100,内部项目代号是什么，启动日期是哪天？,暗星计划，2024年11月8日,暗星计划，2024年11月8日。,419,2.82,,,
deepseek,niah,16000,100,数据中心备用电源的启动口令是什么？,GoldenKey-7749,GoldenKey-7749,11856,3.29,,,
deepseek,niah,32000,0,张伟的私人银行账户密码是什么？,X7K9-BLUE-2024,X7K9-BLUE-2024,25590,0.91,,,
deepseek,niah,32000,0,张伟的私人银行账户密码是什么？,X7K9-BLUE-2024,X7K9-BLUE-2024,4989,0.79,,,
deepseek,niah,32000,0,数据中心备用电源的启动口令是什么？,GoldenKey-7749,GoldenKey-7749,24949,1.68,,,
deepseek,niah,32000,10,数据中心备用电源的启动口令是什么？,GoldenKey-7749,,0,0.0,,,
deepseek,niah,32000,25,公司今年第三季度净利润是多少？,47.3亿元人民币,47.3亿元人民币。,395,1.17,,,
deepseek,niah,32000,25,公司今年第三季度净利润是多少？,47.3亿元人民币,47.3亿元人民币。,8370,2.04,,,
deepseek,niah,32000,25,首席技术官王磊的直线电话是多少？,010-88887777转301,,0,0.0,,,
deepseek,niah,32000,50,会议室临时预订密码是什么？,Rainbow-512,Rainbow-512,4973,1.13,,,
deepseek,niah,32000,50,会议室临时预订密码是什么？,Rainbow-512,Rainbow-512,11955,0.87,,,
deepseek,niah,32000,50,首席技术官王磊的直线电话是多少？,010-88887777转301,010-88887777 转 301,24000,1.54,,,
deepseek,niah,32000,75,内部项目代号是什么，启动日期是哪天？,暗星计划，2024年11月8日,内部项目代号为“暗星计划”，正式启动日期为2024年11月8日。,8403,1.07,,,
deepseek,niah,32000,75,本次合并的换股比例是多少？,每3股A公司股票换1股B公司股票,本次合并的换股比例为每3股A公司股票换1股B公司股票。,22991,1.0,,,
deepseek,niah,32000,75,李明的员工编号是多少？,EMP-2024-08831,EMP-2024-08831,3282,0.79,,,
deepseek,niah,32000,90,内部项目代号是什么，启动日期是哪天？,暗星计划，2024年11月8日,,0,0.0,,,
deepseek,niah,32000,90,数据中心备用电源的启动口令是什么？,GoldenKey-7749,GoldenKey-7749,24862,1.74,,,
deepseek,niah,32000,90,首席技术官王磊的直线电话是多少？,010-88887777转301,010-88887777 转 301,25591,1.86,,,
deepseek,niah,32000,100,公司今年第三季度净利润是多少？,47.3亿元人民币,47.3亿元人民币。,8370,2.57,,,
deepseek,niah,32000,100,内部项目代号是什么，启动日期是哪天？,暗星计划，2024年11月8日,内部项目代号是“暗星计划”，启动日期是2024年11月8日。,24980,1.64,,,
kimi,niah,2000,0,公司今年第三季度净利润是多少？,47.3亿元人民币,47.3 亿元人民币,1702,1.15,,,
kimi,niah,2000,0,李明的员工编号是多少？,EMP-2024-08831,EMP-2024-08831,2140,5.24,,,
kimi,niah,2000,10,公司今年第三季度净利润是多少？,47.3亿元人民币,47.3 亿元人民币,1702,1.17,,,
kimi,niah,2000,10,公司今年第三季度净利润是多少？,47.3亿元人民币,47.3 亿元人民币,1784,1.49,,,
kimi,niah,2000,25,内部项目代号是什么，启动日期是哪天？,暗星计划，2024年11月8日,内部项目代号是“暗星计划”，启动日期是2024年11月8日。,1395,1.29,,,
kimi,niah,2000,25,张伟的私人银行账户密码是什么？,X7K9-BLUE-2024,X7K9-BLUE-2024,1376,1.45,,,
kimi,niah,2000,25,张伟的私人银行账户密码是什么？,X7K9-BLUE-2024,X7K9-BLUE-2024,2146,2.53,,,
kimi,niah,2000,50,首席技术官王磊的直线电话是多少？,010-88887777转301,010-88887777 转 301,1381,1.05,,,
kimi,niah,2000,75,张伟的私人银行账户密码是什么？,X7K9-BLUE-2024,X7K9-BLUE-2024,1236,0.86,,,
kimi,niah,2000,75,李明的员工编号是多少？,EMP-2024-08831,EMP-2024-08831,1726,0.94,,,
kimi,niah,2000,90,内部项目代号是什么，启动日期是哪天？,暗星计划，2024年11月8日,内部项目代号是“暗星计划”，启动日期是2024年11月8日。,1812,2.24,,,
kimi,niah,2000,90,本次合并的换股比例是多少？,每3股A公司股票换1股B公司股票,每3股A公司股票换1股B公司股票。,1743,1.1,,,
kimi,niah,2000,100,公司今年第三季度净利润是多少？,47.3亿元人民币,,0,0.0,,,
kimi,niah,2000,100,数据中心备用电源的启动口令是什么？,GoldenKey-7749,GoldenKey-7749,1227,0.77,,,
kimi,niah,4000,0,张伟的私人银行账户密码是什么？,X7K9-BLUE-2024,X7K9-BLUE-2024,2008,1.07,,,
kimi,niah,4000,0,数据中心备用电源的启动口令是什么？,GoldenKey-7749,GoldenKey-7749,3968,1.31,,,
kimi,niah,4000,0,李明的员工编号是多少？,EMP-2024-08831,EMP-2024-08831,3530,1.45,,,
kimi,niah,4000,10,公司今年第三季度净利润是多少？,47.3亿元人民币,47.3 亿元人民币。,3462,1.19,,,
kimi,niah,4000,10,首席技术官王磊的直线电话是多少？,010-88887777转301,010-88887777 转 301,2923,1.26,,,
kimi,niah,4000,25,内部项目代号是什么，启动日期是哪天？,暗星计划，2024年11月8日,内部项目代号是“暗星计划”，启动日期是2024年11月8日。,3490,1.73,,,
kimi,niah,4000,25,数据中心备用电源的启动口令是什么？,GoldenKey-7749,GoldenKey-7749,404,4.24,,,
kimi,niah,4000,50,李明的员工编号是多少？,EMP-2024-08831,EMP-2024-08831,2002,0.94,,,
kimi,niah,4000,75,内部项目代号是什么，启动日期是哪天？,暗星计划，2024年11月8日,,0,0.0,,,
kimi,niah,4000,75,李明的员工编号是多少？,EMP-2024-08831,EMP-2024-08831,3856,1.5,,,
kimi,niah,4000,90,数据中心备用电源的启动口令是什么？,GoldenKey-7749,GoldenKey-7749,3360,1.5,,,
kimi,niah,4000,90,数据中心备用电源的启动口令是什么？,GoldenKey-7749,GoldenKey-7749,3952,1.34,,,
kimi,niah,4000,100,公司今年第三季度净利润是多少？,47.3亿元人民币,47.3 亿元人民币,2909,1.08,,,
kimi,niah,4000,100,李明的员工编号是多少？,EMP-2024-08831,EMP-2024-08831,3571,1.41,,,
kimi,niah,8000,0,李明的员工编号是多少？,EMP-2024-08831,EMP-2024-08831,8267,2.29,,,
kimi,niah,8000,0,首席技术官王磊的直线电话是多少？,010-88887777转301,010-88887777 转 301,6944,1.86,,,
kimi,niah,8000,10,内部项目代号是什么，启动日期是哪天？,暗星计划，2024年11月8日,内部项目代号为“暗星计划”，正式启动日期为2024年11月8日。,7161,1.99,,,
kimi,niah,8000,10,数据中心备用电源的启动口令是什么？,GoldenKey-7749,GoldenKey-7749,7134,1.5,,,
kimi,niah,8000,25,张伟的私人银行账户密码是什么？,X7K9-BLUE-2024,X7K9-BLUE-2024,5038,2.6,,,
kimi,niah,8000,25,数据中心备用电源的启动口令是什么？,GoldenKey-7749,GoldenKey-7749,3736,0.9,,,
kimi,niah,8000,25,李明的员工编号是多少？,EMP-2024-08831,,0,0.0,,,
kimi,niah,8000,50,内部项目代号是什么，启动日期是哪天？,暗星计划，2024年11月8日,内部项目代号是“暗星计划”，启动日期是2024年11月8日。,6958,1.76,,,
kimi,niah,8000,50,数据中心备用电源的启动口令是什么？,GoldenKey-7749,GoldenKey-7749,7559,1.7,,,
kimi,niah,8000,50,首席技术官王磊的直线电话是多少？,010-88887777转301,010-88887777 转 301,5043,1.52,,,
kimi,niah,8000,75,内部项目代号是什么，启动日期是哪天？,暗星计划，2024年11月8日,内部项目代号是“暗星计划”，正式启动日期为2024年11月8日。,6958,1.43,,,
kimi,niah,8000,75,李明的员工编号是多少？,EMP-2024-08831,EMP-2024-08831,6956,1.49,,,
kimi,niah,8000,100,内部项目代号是什么，启动日期是哪天？,暗星计划，2024年11月8日,,0,0.0,,,
kimi,niah,8000,100,首席技术官王磊的直线电话是多少？,010-88887777转301,010-88887777 转 301,6944,1.2,,,
kimi,niah,16000,0,本次合并的换股比例是多少？,每3股A公司股票换1股B公司股票,每3股A公司股票换1股B公司股票。,5991,1.55,,,
kimi,niah,16000,10,公司今年第三季度净利润是多少？,47.3亿元人民币,47.3 亿元人民币,15550,3.2,,,
kimi,niah,16000,10,首席技术官王磊的直线电话是多少？,010-88887777转301,010-88887777 转 301,15564,3.05,,,
kimi,niah,16000,25,公司今年第三季度净利润是多少？,47.3亿元人民币,47.3 亿元人民币。,11493,2.31,,,
kimi,niah,16000,25,张伟的私人银行账户密码是什么？,X7K9-BLUE-2024,X7K9-BLUE-2024,6598,1.58,,,
kimi,niah,16000,50,数据中心备用电源的启动口令是什么？,GoldenKey-7749,GoldenKey-7749,5972,1.32,,,
kimi,niah,16000,50,李明的员工编号是多少？,EMP-2024-08831,,0,0.0,,,
kimi,niah,16000,50,李明的员工编号是多少？,EMP-2024-08831,EMP-2024-08831,11495,2.09,,,
kimi,niah,16000,75,会议室临时预订密码是什么？,Rainbow-512,Rainbow-512,16560,3.04,,,
kimi,niah,16000,75,张伟的私人银行账户密码是什么？,X7K9-BLUE-2024,X7K9-BLUE-2024,16146,3.18,,,
kimi,niah,16000,75,李明的员工编号是多少？,EMP-2024-08831,EMP-2024-08831,3923,1.11,,,
kimi,niah,16000,90,会议室临时预订密码是什么？,Rainbow-512,Rainbow-512,6584,1.38,,,
kimi,niah,16000,100,会议室临时预订密码是什么？,Rainbow-512,Rainbow-512,5967,1.38,,,
kimi,niah,16000,100,内部项目代号是什么，启动日期是哪天？,暗星计划，2024年11月8日,内部项目代号为“暗星计划”，启动日期是2024年11月8日。,431,0.77,,,
kimi,niah,16000,100,数据中心备用电源的启动口令是什么？,GoldenKey-7749,GoldenKey-7749,13870,2.75,,,
kimi,niah,32000,0,张伟的私人银行账户密码是什么？,X7K9-BLUE-2024,X7K9-BLUE-2024,31622,6.35,,,
kimi,niah,32000,0,张伟的私人银行账户密码是什么？,X7K9-BLUE-2024,X7K9-BLUE-2024,6598,1.92,,,
kimi,niah,32000,0,数据中心备用电源的启动口令是什么？,GoldenKey-7749,GoldenKey-7749,31333,6.15,,,
kimi,niah,32000,10,数据中心备用电源的启动口令是什么？,GoldenKey-7749,,0,0.0,,,
kimi,niah,32000,25,公司今年第三季度净利润是多少？,47.3亿元人民币,47.3 亿元人民币,403,0.63,,,
kimi,niah,32000,25,公司今年第三季度净利润是多少？,47.3亿元人民币,47.3 亿元人民币,10102,2.2,,,
kimi,niah,32000,25,首席技术官王磊的直线电话是多少？,010-88887777转301,,0,0.0,,,
kimi,niah,32000,50,会议室临时预订密码是什么？,Rainbow-512,Rainbow-512,6584,1.16,,,
kimi,niah,32000,50,会议室临时预订密码是什么？,Rainbow-512,Rainbow-512,13942,2.6,,,
kimi,niah,32000,50,首席技术官王磊的直线电话是多少？,010-88887777转301,010-88887777 转 301,27520,4.46,,,
kimi,niah,32000,75,内部项目代号是什么，启动日期是哪天？,暗星计划，2024年11月8日,内部项目代号为“暗星计划”，正式启动日期为2024年11月8日。,10130,2.26,,,
kimi,niah,32000,75,本次合并的换股比例是多少？,每3股A公司股票换1股B公司股票,,0,0.0,,,
kimi,niah,32000,75,李明的员工编号是多少？,EMP-2024-08831,EMP-2024-08831,3923,0.43,,,
kimi,niah,32000,90,内部项目代号是什么，启动日期是哪天？,暗星计划，2024年11月8日,,0,0.0,,,
kimi,niah,32000,90,数据中心备用电源的启动口令是什么？,GoldenKey-7749,GoldenKey-7749,31325,5.21,,,
kimi,niah,32000,90,首席技术官王磊的直线电话是多少？,010-88887777转301,010-88887777 转 301,31627,5.34,,,
kimi,niah,32000,100,公司今年第三季度净利润是多少？,47.3亿元人民币,47.3 亿元人民币,10102,2.01,,,
kimi,niah,32000,100,内部项目代号是什么，启动日期是哪天？,暗星计划，2024年11月8日,内部项目代号为“暗星计划”，正式启动日期为2024年11月8日。,31360,6.93,,,
qwen,niah,2000,0,公司今年第三季度净利润是多少？,47.3亿元人民币,47.3 亿元人民币,1491,0.74,,,
qwen,niah,2000,0,李明的员工编号是多少？,EMP-2024-08831,EMP-2024-08831,1737,0.97,,,
qwen,niah,2000,10,公司今年第三季度净利润是多少？,47.3亿元人民币,47.3 亿元人民币,1491,0.48,,,
qwen,niah,2000,10,公司今年第三季度净利润是多少？,47.3亿元人民币,47.3 亿元人民币,1568,0.73,,,
qwen,niah,2000,25,内部项目代号是什么，启动日期是哪天？,暗星计划，2024年11月8日,“暗星计划”，2024年11月8日,1234,0.66,,,
qwen,niah,2000,25,张伟的私人银行账户密码是什么？,X7K9-BLUE-2024,X7K9-BLUE-2024,1220,0.69,,,
qwen,niah,2000,25,张伟的私人银行账户密码是什么？,X7K9-BLUE-2024,X7K9-BLUE-2024,1741,0.98,,,
qwen,niah,2000,50,首席技术官王磊的直线电话是多少？,010-88887777转301,010-88887777 转 301,1236,0.78,,,
qwen,niah,2000,75,张伟的私人银行账户密码是什么？,X7K9-BLUE-2024,X7K9-BLUE-2024,1154,0.55,,,
qwen,niah,2000,75,李明的员工编号是多少？,EMP-2024-08831,EMP-2024-08831,1649,0.76,,,
qwen,niah,2000,90,内部项目代号是什么，启动日期是哪天？,暗星计划，2024年11月8日,内部项目代号是“暗星计划”，启动日期是2024年11月8日。,1606,1.16,,,
qwen,niah,2000,90,本次合并的换股比例是多少？,每3股A公司股票换1股B公司股票,每3股A公司股票换1股B公司股票,1661,0.65,,,
qwen,niah,2000,100,公司今年第三季度净利润是多少？,47.3亿元人民币,47.3亿元人民币,1309,0.61,,,
qwen,niah,2000,100,数据中心备用电源的启动口令是什么？,GoldenKey-7749,GoldenKey-7749,1143,0.58,,,
qwen,niah,4000,0,张伟的私人银行账户密码是什么？,X7K9-BLUE-2024,X7K9-BLUE-2024,1916,0.77,,,
qwen,niah,4000,0,数据中心备用电源的启动口令是什么？,GoldenKey-7749,GoldenKey-7749,3332,0.76,,,
qwen,niah,4000,0,李明的员工编号是多少？,EMP-2024-08831,EMP-2024-08831,3319,0.82,,,
qwen,niah,4000,10,公司今年第三季度净利润是多少？,47.3亿元人民币,47.3 亿元人民币,2972,0.85,,,
qwen,niah,4000,10,首席技术官王磊的直线电话是多少？,010-88887777转301,010-88887777 转 301,2663,1.14,,,
qwen,niah,4000,25,内部项目代号是什么，启动日期是哪天？,暗星计划，2024年11月8日,内部项目代号为“暗星计划”，正式启动日期为2024年11月8日。,3011,1.12,,,
qwen,niah,4000,25,数据中心备用电源的启动口令是什么？,GoldenKey-7749,GoldenKey-7749,415,0.71,,,
qwen,niah,4000,50,李明的员工编号是多少？,EMP-2024-08831,EMP-2024-08831,1912,0.66,,,
qwen,niah,4000,75,内部项目代号是什么，启动日期是哪天？,暗星计划，2024年11月8日,,0,0.0,,,
qwen,niah,4000,75,李明的员工编号是多少？,EMP-2024-08831,EMP-2024-08831,3419,1.03,,,
qwen,niah,4000,90,数据中心备用电源的启动口令是什么？,GoldenKey-7749,GoldenKey-7749,3017,0.77,,,
qwen,niah,4000,90,数据中心备用电源的启动口令是什么？,GoldenKey-7749,GoldenKey-7749,3461,0.72,,,
qwen,niah,4000,100,公司今年第三季度净利润是多少？,47.3亿元人民币,47.3亿元人民币,2630,0.63,,,
qwen,niah,4000,100,李明的员工编号是多少？,EMP-2024-08831,EMP-2024-08831,3041,0.88,,,
qwen,niah,8000,0,李明的员工编号是多少？,EMP-2024-08831,EMP-2024-08831,7035,1.24,,,
qwen,niah,8000,0,首席技术官王磊的直线电话是多少？,010-88887777转301,010-88887777 转 301,6417,1.22,,,
qwen,niah,8000,10,内部项目代号是什么，启动日期是哪天？,暗星计划，2024年11月8日,内部项目代号是“暗星计划”，启动日期是2024年11月8日。,6047,1.24,,,
qwen,niah,8000,10,数据中心备用电源的启动口令是什么？,GoldenKey-7749,GoldenKey-7749,6014,0.93,,,
qwen,niah,8000,25,张伟的私人银行账户密码是什么？,X7K9-BLUE-2024,X7K9-BLUE-2024,4815,0.94,,,
qwen,niah,8000,25,数据中心备用电源的启动口令是什么？,GoldenKey-7749,GoldenKey-7749,3519,0.67,,,
qwen,niah,8000,25,李明的员工编号是多少？,EMP-2024-08831,EMP-2024-08831,6625,1.55,,,
qwen,niah,8000,50,内部项目代号是什么，启动日期是哪天？,暗星计划，2024年11月8日,内部项目代号是“暗星计划”，正式启动日期为2024年11月8日。,6423,1.6,,,
qwen,niah,8000,50,数据中心备用电源的启动口令是什么？,GoldenKey-7749,GoldenKey-7749,6752,1.15,,,
qwen,niah,8000,50,首席技术官王磊的直线电话是多少？,010-88887777转301,010-88887777 转 301,4832,1.08,,,
qwen,niah,8000,75,内部项目代号是什么，启动日期是哪天？,暗星计划，2024年11月8日,内部项目代号是“暗星计划”，启动日期是2024年11月8日。,6423,1.3,,,
qwen,niah,8000,75,李明的员工编号是多少？,EMP-2024-08831,EMP-2024-08831,6417,1.02,,,
qwen,niah,8000,100,内部项目代号是什么，启动日期是哪天？,暗星计划，2024年11月8日,暗星计划，2024年11月8日,6642,1.07,,,
qwen,niah,8000,100,首席技术官王磊的直线电话是多少？,010-88887777转301,010-88887777 转 301,6417,1.22,,,
qwen,niah,16000,0,本次合并的换股比例是多少？,每3股A公司股票换1股B公司股票,每3股A公司股票换1股B公司股票,5738,1.01,,,
qwen,niah,16000,10,公司今年第三季度净利润是多少？,47.3亿元人民币,47.3 亿元人民币,13725,1.41,,,
qwen,niah,16000,10,首席技术官王磊的直线电话是多少？,010-88887777转301,010-88887777 转 301,13757,1.99,,,
qwen,niah,16000,25,公司今年第三季度净利润是多少？,47.3亿元人民币,47.3 亿元人民币,9644,1.42,,,
qwen,niah,16000,25,张伟的私人银行账户密码是什么？,X7K9-BLUE-2024,X7K9-BLUE-2024,5672,1.08,,,
qwen,niah,16000,50,数据中心备用电源的启动口令是什么？,GoldenKey-7749,GoldenKey-7749,5720,0.96,,,
qwen,niah,16000,50,李明的员工编号是多少？,EMP-2024-08831,,0,0.0,,,
qwen,niah,16000,50,李明的员工编号是多少？,EMP-2024-08831,EMP-2024-08831,9655,1.59,,,
qwen,niah,16000,75,会议室临时预订密码是什么？,Rainbow-512,Rainbow-512,14076,1.51,,,
qwen,niah,16000,75,张伟的私人银行账户密码是什么？,X7K9-BLUE-2024,X7K9-BLUE-2024,14036,1.54,,,
qwen,niah,16000,75,李明的员工编号是多少？,EMP-2024-08831,EMP-2024-08831,3638,0.77,,,
qwen,niah,16000,90,会议室临时预订密码是什么？,Rainbow-512,Rainbow-512,5656,0.86,,,
qwen,niah,16000,100,会议室临时预订密码是什么？,Rainbow-512,Rainbow-512,5715,0.75,,,
qwen,niah,16000,100,内部项目代号是什么，启动日期是哪天？,暗星计划，2024年11月8日,暗星计划，2024年11月8日,438,0.9,,,
qwen,niah,16000,100,数据中心备用电源的启动口令是什么？,GoldenKey-7749,GoldenKey-7749,12909,1.71,,,
qwen,niah,32000,0,张伟的私人银行账户密码是什么？,X7K9-BLUE-2024,X7K9-BLUE-2024,27711,2.85,,,
qwen,niah,32000,0,张伟的私人银行账户密码是什么？,X7K9-BLUE-2024,X7K9-BLUE-2024,5672,1.07,,,
qwen,niah,32000,0,数据中心备用电源的启动口令是什么？,GoldenKey-7749,GoldenKey-7749,27075,2.75,,,
qwen,niah,32000,10,数据中心备用电源的启动口令是什么？,GoldenKey-7749,,0,0.0,,,
qwen,niah,32000,25,公司今年第三季度净利润是多少？,47.3亿元人民币,47.3亿元人民币,409,0.51,,,
qwen,niah,32000,25,公司今年第三季度净利润是多少？,47.3亿元人民币,47.3 亿元人民币,9209,1.9,,,
qwen,niah,32000,25,首席技术官王磊的直线电话是多少？,010-88887777转301,,0,0.0,,,
qwen,niah,32000,50,会议室临时预订密码是什么？,Rainbow-512,Rainbow-512,5656,0.94,,,
qwen,niah,32000,50,会议室临时预订密码是什么？,Rainbow-512,Rainbow-512,12973,1.43,,,
qwen,niah,32000,50,首席技术官王磊的直线电话是多少？,010-88887777转301,010-88887777 转 301,26242,2.96,,,
qwen,niah,32000,75,内部项目代号是什么，启动日期是哪天？,暗星计划，2024年11月8日,内部项目代号是“暗星计划”，启动日期是2024年11月8日。,9247,1.61,,,
qwen,niah,32000,75,本次合并的换股比例是多少？,每3股A公司股票换1股B公司股票,,0,0.0,,,
qwen,niah,32000,75,李明的员工编号是多少？,EMP-2024-08831,EMP-2024-08831,3638,0.94,,,
qwen,niah,32000,90,内部项目代号是什么，启动日期是哪天？,暗星计划，2024年11月8日,,0,0.0,,,
qwen,niah,32000,90,数据中心备用电源的启动口令是什么？,GoldenKey-7749,GoldenKey-7749,27171,4.83,,,
qwen,niah,32000,90,首席技术官王磊的直线电话是多少？,010-88887777转301,010-88887777 转 301,27728,4.22,,,
qwen,niah,32000,100,公司今年第三季度净利润是多少？,47.3亿元人民币,47.3亿元人民币,9208,2.12,,,
qwen,niah,32000,100,内部项目代号是什么，启动日期是哪天？,暗星计划，2024年11月8日,暗星计划，2024年11月8日,27098,3.27,,,
